laptop_id,full_name_with_specs,link_profile,full_name,producer,model,cpu,cpu_mark,gpu,disc,ram,ram_tech,display_size,display_resolution,display_hz,display_tech,weight,hdmi_version,wifi_version,bluetooth_version,webcam_resolution,microphone_count,publishing_date,price_in_dollar,review_link,amazon_link,dimensions,ethernet,fingerprint_reader,service_rank,service_level
1,"ASUS VivoBook S 15ProcessorAMD Ryzen 9 6900HXInternal memory32GB RAMVideo cardAMD Radeon 680MDisplay15.6”, FHD (1920 x 1080), OLEDSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-s-15-152/,ASUS VivoBook S 15,ASUS,VivoBookS15,AMD Ryzen 9 6900HX,24906,AMD Radeon 680M,2000GB SSD,32GB,,15.6”, Full HD (1920 x 1080),, OLED,2.0,2.1,802.11ax,5.0,720p,1x Microphone,25.09.2023,,,,,,Fingerprint reader,5,80/100
2,"HP OMEN 16ProcessorIntel Core i7-12700HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3050 Ti (Laptop)Display16.1″, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-16-1212/,HP OMEN 16,HP,OMEN16,Intel Core i7-12700H,26457,NVIDIA GeForce RTX 3050 Ti (Laptop),1000GB SSD,16GB,DDR5,16.1″, Full HD (1920 x 1080), 144 Hz, IPS,2.41 kg (5.3 lbs),2.1,802.11ax,5.2,720p,2x Microphones,20.09.2023,,,,"369.06 x 247.90 x 23 mm (14.53"" x 9.76"" x 0.91"")","10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
3,"LG gram 17ProcessorIntel Core i7-1360PInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display17.0”, QHD+ (2560 x 1600), IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/lg-gram-17-525/,LG gram 17,LG,gram17,Intel Core i7-1360P,19277,Intel Iris Xe Graphics G7 (96EU),4000GB SSD,16GB,,17.0”, QHD (2560 x 1600),, IPS,3.2 Gen 1 (5 Gbps),,802.11ax,5.1,720p,2x Microphones,20.09.2023,,,,,,Fingerprint reader,,
4,"HP 15ProcessorIntel Core i5-1135G7Internal memory32GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, HD (1366 x 768), TNHard drive1000GB HDDSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17220/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),2000GB SSD + 1000GB HDD,32GB,,15.6”, HD (1366 x 768),, TN,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,17.10.2023,$1890.00,https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0CDRPGMW9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
5,"HP ENVY 17ProcessorIntel Core i7-13700HInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 3050 (Laptop)Display17.3”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-17-3724/,HP ENVY 17,HP,ENVY17,Intel Core i7-13700H,28201,NVIDIA GeForce RTX 3050 (Laptop),1000GB SSD,48GB,,17.3”, Full HD (1920 x 1080),, IPS,3.2 Gen 2 (10 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,17.10.2023,,,,,,,9,63/100
6,"HP 15ProcessorIntel Core i3-1215UInternal memory8GB RAMVideo cardIntel UHD Graphics (Alder Lake, 64EU)Display15.6”, HD (1366 x 768), TNSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17833/,HP 15,HP,15,Intel Core i3-1215U,11042,"Intel UHD Graphics (Alder Lake, 64EU)",512GB SSD,8GB,,15.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.2,720p,2x Microphones,03.11.2023,,,,,,Fingerprint reader,9,63/100
7,"Lenovo IdeaPad Gaming 3i 15ProcessorIntel Core i5-11300HInternal memory32GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop)Display15.6”, Full HD (1920 x 1080), 120 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3i-15-929/,Lenovo IdeaPad Gaming 3i 15,Lenovo,IdeaPadGaming3i15,Intel Core i5-11300H,11002,NVIDIA GeForce GTX 1650 (Laptop),1000GB SSD,32GB,DDR4,15.6”, Full HD (1920 x 1080), 120 Hz, IPS,2.25 kg (5 lbs),2.0,802.11ax,5.0,720p,2x Microphones,02.11.2023,$1009.00,https://laptopmedia.com/review/lenovo-ideapad-gaming-3i-15-2021/,https://www.amazon.com/exec/obidos/ASIN/B0CFX4DT8L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"359.6 x 251.9 x 24.2 mm (14.16"" x 9.92"" x 0.95"")","10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
8,"Dell Inspiron 15 5567ProcessorIntel Core i5-7200UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6”, Full HD (1920 x 1080), IPSHard drive1000GB HDD",https://laptopmedia.com/laptop-specs/dell-inspiron-15-5567-9/,Dell Inspiron 15 5567,Dell,Inspiron155567,Intel Core i5-7200U,3394,Intel HD Graphics 620,1000GB HDD,8GB,2400Mhz,15.6”, Full HD (1920 x 1080),, IPS,2.30 kg (5.1 lbs),2.0,802.11ac,4.2,720p,,02.12.2017,,,,,,,4,80/100
9,"Lenovo Ideapad 320ProcessorAMD A12-9720PInternal memory8GB RAMVideo cardAMD Radeon R7 (Bristol Ridge)Display15.6”, HD (1366 x 768), TNHard drive1000GB HDD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-320-4/,Lenovo Ideapad 320,Lenovo,Ideapad320,AMD A12-9720P,2637,AMD Radeon R7 (Bristol Ridge),1000GB HDD,8GB,,15.6”, HD (1366 x 768),, TN,2.20 kg (4.9 lbs),1.4b,802.11ac,4.1,720p,1x Microphone,14.12.2017,$528.18,https://laptopmedia.com/review/lenovo-ideapad-320-core-i5-7200u-geforce-940mx-review-good-ultra-budget-solution-but-dont-expect-more/,https://www.amazon.com/exec/obidos/ASIN/B073WQLZ7M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,,3,85/100
10,"ASUS Chromebook C223ProcessorIntel Celeron N3350Internal memory4GB RAMVideo cardIntel HD Graphics 500 (Apollo Lake)Display11.6”, HD (1366 x 768), TNSolid-state drive32GB SSD",https://laptopmedia.com/laptop-specs/asus-chromebook-c223-2/,ASUS Chromebook C223,ASUS,ChromebookC223,Intel Celeron N3350,1109,Intel HD Graphics 500 (Apollo Lake),32GB SSD,4GB,,11.6”, HD (1366 x 768),, TN,"3.2 Gen 1 (5 Gbps), Power Delivery (PD), DisplayPort",,802.11ac,4.0,,,16.04.2019,,,,,,,5,80/100
11,"Lenovo ThinkPad X1 YogaProcessorIntel Core i7-8550UInternal memory8GB RAMVideo cardIntel UHD Graphics 620Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-yoga-12/,Lenovo ThinkPad X1 Yoga,Lenovo,ThinkPadX1Yoga,Intel Core i7-8550U,5930,Intel UHD Graphics 620,256GB SSD,8GB,,14.0”, Full HD (1920 x 1080),, IPS,1.40 kg (3.1 lbs),1.4,802.11ac,4.1,,2x Microphones,01.05.2018,$1069.99,https://laptopmedia.com/review/lenovo-thinkpad-x1-yoga-3rd-gen-review-a-robust-industrial-convertible/,https://www.amazon.com/exec/obidos/ASIN/B079LFZDZX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
